Patient ID,Split,Number of Splits
patient01270,['train'],1
patient01271,['train'],1
patient01272,['train'],1
patient01273,['train'],1
patient01274,['test'],1
patient01275,['train'],1
patient01276,['train'],1
patient01277,['val'],1
patient01278,['train'],1
patient01279,['train'],1
patient01280,['train'],1
patient01281,['train'],1
patient01282,['train'],1
patient01283,['train'],1
patient01284,['test'],1
patient01285,['train'],1
patient01286,['train'],1
patient01287,['train'],1
patient01288,['train'],1
patient01289,['val'],1
patient01290,['train'],1
patient01291,['train'],1
patient01292,['train'],1
patient01293,['train'],1
patient01294,['train'],1
patient01295,['train'],1
patient01296,['train'],1
patient01297,['test'],1
patient01298,['train'],1
patient01299,['train'],1
patient01300,['train'],1
patient01301,['train'],1
patient01302,['test'],1
patient01303,['val'],1
patient01304,['train'],1
patient01305,['train'],1
patient01306,['train'],1
patient01307,['train'],1
patient01308,['train'],1
patient01309,['train'],1
patient01310,['train'],1
patient01311,['train'],1
patient01312,['train'],1
patient01313,['test'],1
patient01314,['test'],1
patient01315,['train'],1
patient01316,['train'],1
patient01317,['train'],1
patient01318,['train'],1
patient01319,['val'],1
patient01320,['val'],1
patient01321,['val'],1
patient01322,['train'],1
patient01323,['train'],1
patient01324,['train'],1
patient01325,['train'],1
patient01326,['train'],1
patient01327,['test'],1
patient01328,['train'],1
patient01329,['val'],1
patient01330,['val'],1
patient01331,['val'],1
patient01332,['train'],1
patient01333,['train'],1
patient01334,['train'],1
patient01335,['train'],1
patient01336,['train'],1
patient01337,['val'],1
patient01338,['train'],1
patient01339,['train'],1
patient01340,['train'],1
patient01341,['train'],1
patient01342,['val'],1
patient01343,['train'],1
patient01344,['train'],1
patient01345,['test'],1
patient01346,['train'],1
patient01347,['train'],1
patient01348,['train'],1
patient01349,['test'],1
patient01350,['train'],1
patient01351,['train'],1
patient01352,['train'],1
patient01353,['train'],1
patient01354,['train'],1
patient01355,['train'],1
patient01356,['test'],1
patient01357,['test'],1
patient01358,['train'],1
patient01359,['train'],1
patient01360,['train'],1
patient01361,['train'],1
patient01362,['train'],1
patient01363,['train'],1
patient01364,['train'],1
patient01365,['train'],1
patient01366,['train'],1
patient01367,['train'],1
patient01368,['train'],1
patient01369,['train'],1
patient01370,['train'],1
patient01371,['val'],1
patient01372,['train'],1
patient01373,['train'],1
patient01374,['train'],1
patient01375,['train'],1
patient01376,['val'],1
patient01377,['train'],1
patient01378,['train'],1
patient01379,['test'],1
patient01380,['train'],1
patient01381,['train'],1
patient01382,['train'],1
patient01383,['train'],1
patient01384,['train'],1
patient01385,['train'],1
patient01386,['train'],1
patient01387,['train'],1
patient01388,['test'],1
patient01389,['train'],1
patient01390,['val'],1
patient01391,['train'],1
patient01392,['train'],1
patient01393,['test'],1
patient01394,['train'],1
patient01395,['train'],1
patient01396,['train'],1
patient01397,['train'],1
patient01398,['train'],1
patient01399,['train'],1
patient01400,['train'],1
patient01401,['train'],1
patient01402,['test'],1
patient01403,['train'],1
patient01404,['test'],1
patient01405,['train'],1
patient01406,['val'],1
patient01407,['train'],1
patient01408,['train'],1
patient01409,['train'],1
patient01410,['train'],1
patient01411,['train'],1
patient01412,['train'],1
patient01413,['train'],1
patient01414,['train'],1
patient01415,['test'],1
patient01416,['train'],1
patient01417,['train'],1
patient01418,['val'],1
patient01419,['train'],1
patient01420,['val'],1
patient01421,['test'],1
patient01422,['train'],1
patient01423,['train'],1
patient01424,['train'],1
patient01425,['train'],1
patient01426,['train'],1
patient01427,['train'],1
patient01428,['train'],1
patient01429,['train'],1
patient01430,['val'],1
patient01431,['train'],1
patient01432,['train'],1
patient01433,['train'],1
patient01434,['val'],1
patient01435,['train'],1
patient01436,['val'],1
patient01437,['train'],1
patient01438,['train'],1
patient01439,['train'],1
patient01440,['train'],1
patient01441,['test'],1
patient01442,['train'],1
patient01443,['train'],1
patient01444,['train'],1
patient01445,['val'],1
patient01446,['train'],1
patient01447,['train'],1
patient01448,['val'],1
patient01449,['train'],1
patient01450,['train'],1
patient01451,['train'],1
patient01452,['train'],1
patient01453,['train'],1
patient01454,['train'],1
patient01455,['train'],1
patient01456,['train'],1
patient01457,['val'],1
patient01458,['test'],1
patient01459,['train'],1
patient01460,['train'],1
patient01461,['train'],1
patient01462,['train'],1
patient01463,['train'],1
patient01464,['train'],1
patient01465,['train'],1
patient01466,['test'],1
patient01467,['train'],1
patient01468,['val'],1
patient01469,['test'],1
patient01470,['train'],1
patient01471,['train'],1
patient01472,['train'],1
patient01473,['val'],1
patient01474,['train'],1
patient01475,['train'],1
patient01476,['train'],1
patient01477,['train'],1
patient01478,['test'],1
patient01479,['train'],1
patient01480,['train'],1
patient01481,['train'],1
patient01482,['val'],1
patient01483,['train'],1
patient01484,['train'],1
patient01485,['train'],1
patient01486,['train'],1
patient01487,['test'],1
patient01488,['train'],1
patient01489,['train'],1
patient01490,['train'],1
patient01491,['test'],1
patient01492,['train'],1
patient01493,['train'],1
patient01494,['train'],1
patient01495,['train'],1
patient01496,['train'],1
patient01497,['train'],1
patient01498,['train'],1
patient01499,['test'],1
patient01500,['train'],1
patient01501,['train'],1
patient01502,['train'],1
patient01503,['train'],1
patient01504,['train'],1
patient01505,['val'],1
patient01506,['train'],1
patient01507,['train'],1
patient01508,['train'],1
patient01509,['train'],1
patient01510,['train'],1
patient01511,['train'],1
patient01512,['train'],1
patient01513,['train'],1
patient01514,['train'],1
patient01515,['val'],1
patient01516,['train'],1
patient01517,['test'],1
patient01518,['train'],1
patient01519,['test'],1
patient01520,['train'],1
patient01521,['train'],1
patient01522,['train'],1
patient01523,['train'],1
patient01524,['train'],1
patient01525,['test'],1
patient01526,['train'],1
patient01527,['train'],1
patient01528,['train'],1
patient01529,['train'],1
patient01530,['train'],1
patient01531,['train'],1
patient01532,['train'],1
patient01533,['train'],1
patient01534,['train'],1
patient01535,['train'],1
patient01536,['train'],1
patient01537,['val'],1
patient01538,['train'],1
patient01539,['train'],1
patient01540,['val'],1
patient01541,['train'],1
patient01542,['train'],1
patient01543,['train'],1
patient01544,['test'],1
patient01545,['train'],1
patient01546,['train'],1
patient01547,['train'],1
patient01548,['train'],1
patient01549,['train'],1
patient01550,['train'],1
patient01551,['train'],1
patient01552,['test'],1
patient01553,['val'],1
patient01554,['test'],1
patient01555,['train'],1
patient01556,['train'],1
patient01557,['train'],1
patient01558,['train'],1
patient01559,['val'],1
patient01560,['test'],1
patient01561,['val'],1
patient01562,['train'],1
patient01563,['train'],1
patient01564,['train'],1
patient01565,['test'],1
patient01566,['test'],1
patient01567,['train'],1
patient01568,['train'],1
patient01569,['train'],1
patient01570,['train'],1
patient01571,['train'],1
patient01572,['train'],1
patient01573,['train'],1
patient01574,['test'],1
patient01575,['train'],1
patient01576,['train'],1
patient01577,['train'],1
patient01578,['train'],1
patient01579,['train'],1
patient01580,['train'],1
patient01581,['train'],1
patient01582,['train'],1
patient01583,['train'],1
patient01584,['train'],1
patient01585,['train'],1
patient01586,['train'],1
patient01587,['train'],1
patient01588,['test'],1
patient01589,['train'],1
patient01590,['train'],1
patient01591,['train'],1
patient01592,['train'],1
patient01593,['val'],1
patient01594,['train'],1
patient01595,['test'],1
patient01596,['test'],1
patient01597,['train'],1
patient01598,['train'],1
patient01599,['train'],1
patient01600,['train'],1
patient01601,['train'],1
patient01602,['train'],1
patient01603,['test'],1
patient01604,['val'],1
patient01605,['train'],1
patient01606,['train'],1
patient01607,['train'],1
patient01608,['train'],1
patient01609,['train'],1
patient01610,['train'],1
patient01611,['test'],1
patient01612,['test'],1
patient01613,['train'],1
patient01614,['train'],1
patient01615,['train'],1
patient01616,['train'],1
patient01617,['train'],1
patient01618,['train'],1
patient01619,['train'],1
patient01620,['train'],1
patient01621,['val'],1
patient01622,['train'],1
patient01623,['train'],1
patient01624,['train'],1
patient01625,['test'],1
patient01626,['test'],1
patient01627,['val'],1
patient01628,['train'],1
patient01629,['test'],1
patient01630,['val'],1
patient01631,['train'],1
patient01632,['train'],1
patient01633,['train'],1
patient01634,['train'],1
patient01635,['train'],1
patient01636,['test'],1
patient01637,['train'],1
patient01638,['train'],1
patient01639,['train'],1
patient01640,['train'],1
patient01641,['train'],1
patient01642,['train'],1
patient01643,['train'],1
patient01644,['train'],1
patient01645,['train'],1
patient01646,['train'],1
patient01647,['train'],1
patient01648,['train'],1
patient01649,['train'],1
patient01650,['train'],1
patient01651,['train'],1
patient01652,['train'],1
patient01653,['test'],1
patient01654,['train'],1
patient01655,['test'],1
patient01656,['train'],1
patient01657,['train'],1
patient01658,['train'],1
patient01659,['train'],1
patient01660,['train'],1
patient01661,['train'],1
patient01662,['train'],1
patient01663,['train'],1
patient01664,['train'],1
patient01665,['test'],1
patient01666,['train'],1
patient01667,['train'],1
patient01668,['train'],1
patient01669,['train'],1
patient01670,['train'],1
patient01671,['train'],1
patient01672,['train'],1
patient01673,['test'],1
patient01674,['test'],1
patient01675,['train'],1
patient01676,['train'],1
patient01677,['test'],1
patient01678,['test'],1
patient01679,['train'],1
patient01680,['val'],1
patient01681,['train'],1
patient01682,['train'],1
patient01683,['train'],1
patient01684,['train'],1
patient01685,['train'],1
patient01686,['train'],1
patient01687,['train'],1
patient01688,['train'],1
patient01689,['train'],1
patient01690,['train'],1
patient01691,['train'],1
patient01692,['train'],1
patient01693,['train'],1
patient01694,['train'],1
patient01695,['train'],1
patient01696,['train'],1
patient01697,['train'],1
patient01698,['train'],1
patient01699,['train'],1
patient01700,['train'],1
patient01701,['train'],1
patient01702,['train'],1
patient01703,['train'],1
patient01704,['train'],1
patient01705,['train'],1
patient01706,['train'],1
patient01707,['train'],1
patient01708,['val'],1
patient01709,['train'],1
patient01710,['train'],1
patient01711,['train'],1
patient01712,['test'],1
patient01713,['train'],1
patient01714,['train'],1
patient01715,['train'],1
patient01716,['train'],1
patient01717,['val'],1
patient01718,['val'],1
patient01719,['train'],1
patient01720,['val'],1
patient01721,['train'],1
patient01722,['train'],1
patient01723,['train'],1
patient01724,['train'],1
patient01725,['train'],1
patient01726,['val'],1
patient01727,['test'],1
patient01728,['val'],1
patient01729,['train'],1
patient01730,['train'],1
patient01731,['val'],1
patient01732,['train'],1
patient01733,['train'],1
patient01734,['val'],1
patient01735,['val'],1
patient01736,['test'],1
patient01737,['train'],1
patient01738,['train'],1
patient01739,['test'],1
patient01740,['train'],1
patient01741,['train'],1
patient01742,['train'],1
patient01743,['train'],1
patient01744,['train'],1
patient01745,['train'],1
patient01746,['train'],1
patient01747,['train'],1
patient01748,['train'],1
patient01749,['train'],1
patient01750,['train'],1
patient01751,['train'],1
patient01752,['train'],1
patient01753,['train'],1
patient01754,['train'],1
patient01755,['train'],1
patient01756,['train'],1
patient01757,['train'],1
patient01758,['val'],1
patient01759,['test'],1
patient01760,['train'],1
patient01761,['train'],1
patient01762,['train'],1
patient01763,['train'],1
patient01764,['train'],1
patient01765,['train'],1
patient01766,['train'],1
patient01767,['train'],1
patient01768,['train'],1
patient01769,['val'],1
patient01770,['val'],1
patient01771,['val'],1
patient01772,['train'],1
patient01773,['train'],1
patient01774,['train'],1
patient01775,['train'],1
patient01776,['train'],1
patient01777,['train'],1
patient01778,['train'],1
patient01779,['train'],1
patient01780,['test'],1
patient01781,['val'],1
patient01782,['val'],1
patient01783,['train'],1
patient01784,['train'],1
patient01785,['test'],1
patient01786,['test'],1
patient01787,['train'],1
patient01788,['test'],1
patient01789,['train'],1
patient01790,['train'],1
patient01791,['train'],1
patient01792,['train'],1
